Industry,Year,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Consumer Trust in AI (%),Market Share of AI Companies (%)
Automotive,2021.7894736842106,54.8878947368421,43.159473684210525,28.916842105263157,46.48263157894737,55.90631578947369,61.239999999999995,29.591578947368422
Education,2021.5294117647059,57.02823529411765,60.822941176470586,26.142352941176473,39.54352941176471,58.875882352941176,51.65,22.835882352941177
Finance,2021.9285714285713,55.76428571428572,37.545,27.79,36.25714285714286,53.60928571428571,56.18071428571428,28.995714285714286
Gaming,2022.962962962963,60.416296296296295,44.470370370370375,27.204074074074075,33.23444444444445,53.0962962962963,61.342962962962964,24.058148148148145
Healthcare,2022.7058823529412,55.734117647058824,46.97176470588235,25.579411764705885,38.586470588235294,55.22705882352941,60.16058823529412,29.642941176470586
Legal,2022.8235294117646,56.07764705882353,59.90294117647059,28.234117647058824,41.82411764705882,50.743529411764705,57.78941176470588,20.238823529411764
Manufacturing,2021.7222222222222,57.01444444444444,49.80944444444444,32.74611111111111,42.80722222222222,55.96666666666667,58.27277777777778,25.964444444444446
Marketing,2022.6315789473683,54.2442105263158,37.19736842105263,19.577894736842108,36.81368421052632,55.324210526315795,58.671578947368424,28.681578947368422
Media,2021.9032258064517,47.26322580645161,38.1741935483871,22.749032258064517,43.71967741935484,49.98290322580645,61.759032258064515,30.03451612903226
Retail,2022.952380952381,47.90571428571428,49.07523809523809,21.846666666666664,37.67952380952381,55.41238095238096,62.727619047619044,24.59904761904762
